"nom","adresse","latitude","longitude","id","image"
"Brasserie Kronenbourg","68 route d' Oberhausbergen","48.59310819897731","7.715116739273071","768","70590"
"Foyer du jeune homme","42 avenue Jean Jaurès","48.56971057392204","7.762017846107483","769","92817"
"Médiathéque de Neudorf","3 place du Marché","48.566547710097986","7.760263681411743","772","78870"
"Démolition d'un bel ensemble","10 rue Déserte","48.5834402","7.7358151","776","92817"
"Consulat de Belgique","41 Allée de la Robertsau","48.58922472293638","7.766167223453522","783","65761"
"Villa Brunner","61 avenue des Vosges","48.5896006","7.7512911","796","2588"
"Café de la chaine d'or","11 rue de la Chaîne","48.58112150747934","7.745994329452515","810","22636"
"Stade de la Meinau","12 rue Extenwoerth","48.56010777777933","7.755124568939209","816","85805"
"UGC Ciné Cité","25 Avenue du Rhin","48.573086206960014","7.763353586196899","818","92817"
"Jardin Botanique","28 rue Goethe","48.583421128723685","7.7667224407196045","822","82797"
"Serre contemporaine du jardin botanique","28 rue Goethe","48.5841416","7.7678447","823","NULL"
"Ancienne serre","28 rue Goethe","48.5841416","7.7678447","824","NULL"
"Observatoire astronomique","11 rue de l' Université","48.58334305687867","7.767913341522217","825","98016"
"Faculté des Sciences de la Vie","28 rue Goethe","48.58418409722458","7.76658833026886","827","83918"
"Eglise Saint Antoine","15 rue d' Hurtigheim","48.59753595547789","7.710106372833252","830","92817"
"Rénovation","6 rue du Jeu de Paume","48.5783784","7.7575318","835","NULL"
"Immeuble neuf","4 rue du Chevreuil","48.5892208","7.7444619","838","NULL"
"Rhéabilitation d'un ancien cinéma","3 Rue du Vingt-Deux Novembre","48.58298108583972","7.741423845291138","848","88772"
"Ancienne brasserie Schutzenberger","4 rue du Port du Rhin","48.576963","7.786709","849","92817"
"Ancien siège de la DDE du bas rhin","42 Rue Jacques Kablé","48.59327673046714","7.753925621509552","855","101857"
"Musée d'art moderne et contemporain de Strasbourg","1 place Hans Jean Arp","48.57950319277433","7.735995054244995","857","75027"
"Moulin de la chartreuse","1 rue de la Chartreuse","48.57683782909055","7.705535888671875","863","80793"
"Le Grand Pavois","10 boulevard Paul Déroulède","48.5924694","7.7682059","878","46923"
"Ancien Pfälzer Haus, cercle d'étudiant","6 rue Pierre Bucher","48.58503399508659","7.755604684352875","881","70527"
"Pharmacie de la charmille","16 rue de la Charmille","48.5816922","7.7187971","889","92817"
"Pole europeen de gestion","61 avenue de la Forêt Noire","48.5828746232761","7.7731382846832275","898","92817"
"Direction Départementale de l'Equipement (DDE)","2 route d' Oberhausbergen","48.5906954760207","7.727830410003662","901","92817"
"ancien Hôtel Leitersbergen","2 place de l' Homme de fer","48.5840426","7.744918","902","3101"
"Parc de la citadelle","1 place  3e Regiment Tir Algeriens","48.57617412813116","7.774672508239746","904","92234"
"Villa Stempel (Ancienne)","4 rue Erckmann Chatrian","48.58886811652474","7.764962911605835","908","99839"
"Consulat du Maroc","7 rue Erckmann Chatrian","48.58929036662844","7.764791250228882","910","93368"
"Villa Offermann (ancienne)","14 quai Rouget de Lisle","48.588985211444864","7.764305770397186","911","71610"
"Notre Dame de Sion (primaire)","2 rue Erckmann Chatrian","48.58864989344957","7.7643755078315735","912","85224"
"Ancien grenier à grain","6 place du Petit Broglie","48.58545095436505","7.752420902252197","915","92817"
"Lycée Kleber","25 place de Bordeaux","48.594406763934856","7.756948471069336","921","92817"
"Ancien siège du Medef","1 quai Jacques Sturm","48.587608441891064","7.749062776565552","922","97219"
"Ecole primaire de la Musau (Annexe)","27 rue de la Ménagerie","48.56886219327619","7.769790887832642","926","92817"
"Pharmacie de l'Homme de fer","2 place de l' Homme de fer","48.5840426","7.744918","934","NULL"
"UFR de Physiques","3 rue de l' Université","48.58377599922657","7.764179706573486","935","70750"
"Musée de sismologie","9 rue de l' Université","48.583953433543634","7.765713930130005","940","92817"
"Ancienne Faculté de Médecine","8 Place de l' Hôpital","48.577537012655185","7.749835252761841","950","71294"
"Cour de Mutzig","5 rue de Mutzig","48.5802243","7.7324636","974","86052"
"Crèche Stenger Bachmann","2 rue de la Douane","48.57917845891141","7.749076187610626","982","92817"
"Rivétoile","1 Avenue du Rhin","48.57355473127449","7.757828235626221","983","92817"
"Hôtel Bristol","4 place de la Gare","48.5839664","7.7356627","987","92817"
"Ancien Palace Automobile","23 rue Finkmatt","48.5905711","7.7467538","992","61169"
"C.I.A.R.U.S","7 rue Finkmatt","48.58935423608481","7.747501730918884","994","92817"
"Tour de Chimie","1 rue Blaise Pascal","48.580667248932876","7.767677307128906","1005","92817"
"Ecole de la Musau","78 avenue Jean Jaurès","48.568322629979605","7.766990661621094","1012","79818"
"Ecode du Neufeld","1 rue du Sundgau","48.5666205","7.755264","1013","78920"
"Institut National des Sciences Appliquées (INSA)","24 boulevard de la Victoire","48.5822462","7.7654286","1027","81967"
"Parking Printemps","2 Quai Kellermann","48.58552192581451","7.744427919387817","1031","71285"
"Lycée Fustel de Coulanges","1 place du Château","48.58188096186847","7.752453088760376","1032","88076"
"Ecole maternelle Sainte-Madeleine","3 Place Sainte-Madeleine","48.57959191751063","7.754314541816711","1033","92817"
"Ecole Schoepflin","6 quai Schoepflin","48.58687036441833","7.748397588729858","1036","86477"
"Villa Schweitzer","4 Allée du Sommerhof","48.57491768641218","7.71091103553772","1038","92817"
"L'Archevêché","16 rue Brûlée","48.5848692","7.7528433","1044","70648"
"Ancienne Manufacture de Tabac (actuel SEITA)","7 rue de la Krutenau","48.5810931164398","7.758074998855591","1045","79141"
"Zum Katzenroller","2 rue du Parchemin","48.5843288","7.7536611","1047","NULL"
"Rénovation d'un 2 pièces à Neudorf","2 rue de Plobsheim","48.5650711","7.7650715","1048","NULL"
"Collège Doctoral Européen","46 boulevard de la Victoire","48.581227973735615","7.768428325653076","1050","90466"
"Rectorat de l'Académie","27 Boulevard du Président Poincaré","48.58961680966845","7.741456031799316","1051","92817"
"Oeuvre notre dame","3 place du Château","48.58099552211975","7.751455307006836","1054","92817"
"Ecole Municipale de Musique","57 rue Principale","48.6043403","7.7504989","1056","92817"
"Lycée ORT","11 rue Sellénick","48.59089417520567","7.750897407531738","1057","92817"
"Villa Herrenschmidt","34 rue du Wacken","48.600217965393426","7.758648991584778","1058","23513"
"Ecole Nationale du Génie de l'Eau et de l'Environnement (ENGEEE)","1 quai Koch","48.58500383194155","7.758010625839233","1063","71984"
"Hôtel Régent Contades","8 avenue de la Liberté","48.5857490337831","7.758375406265259","1065","6594"
"Boutique culture","11 rue Mercière","48.581508333804344","7.749878168106079","1068","76994"
"Collège épiscopal Saint Etienne","9 rue des Couples","48.579290252771806","7.752732038497925","1088","92817"
